sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
00216ADBF965013E945482BD8C95421DAEB45E7DEB9725B4E5B528F2714CDE92,1,0,0,1,0,1032,3128
003D21F55E4FE0A07500F508193FD1CCEFAFD6B5B51B4A72FDDF2CE8BD380119,291,83,94,70,44,1194,4226
007603E1FF7C07E00EE62B0A375D2AF119A98CC54A53FB4034A57F9230CD65B7,71,10,49,10,2,1385,5386
0085A90B92A00377111E89E19A9654495B238A0BDC35FCBD76C0AD981435AF3C,1,0,1,0,0,1160,3444
008B203450A6A9781647D8B9D399A147ADEF4C9ECCE7A5D57911FEA0D184B492,1,0,0,1,0,1057,4926
0090158DB9CBDA2BF84A726BC42CC2FD8281DE2456A8F4CC5726D060B1063D26,1,0,0,0,1,2601,10232
00B319A97E9DAE1BD7FC0CE3A927D1CFB3A103AA65920180634FEF6302D13B5C,3,0,0,0,3,397,1017
0128618B3CE1CA23E0FA13C812487C10B313FB5B1B27C56A74DDA3A088FC731C,1,1,0,0,0,413,1148
019F2F9FB1EF179302C719165E521DC2EDDDD5EE1EB685A7B0A477DF19C096C9,28,0,27,0,1,291,742
01DDA7909D909CE7DFB37E61A1C80670D9775AF921DE9E8B94E46B34C4BA5AAF,1,0,1,0,0,1549,5769
0247309695731C6CEDAE159FF6A12AB445F4818D9D86A76E66D88D154FAF2D1D,1,0,1,0,0,1884,9040
02542C284CA7494A2000DE5EDC0A614ACDD1FCEAB5D71C2DD378F23F3D2E31F4,1,1,0,0,0,926,4539
029967694F3A9F9BCDD143723735C37E687DF92D46EA3F5A40FA680E24668E99,1,0,0,1,0,1652,6007
02C2336D6893FEE5B7F6A23B06E370F55DB35215D9762A0BC5A2B49BCC025C6D,1,1,0,0,0,1757,7792
03044D62861E1ECA5ECEFE7A59E4E75579160C0E0660140681BDB57D31B829A8,1,0,0,1,0,1429,4958
031C407AF54D7F6C538DF7951A42FA46AFA909337153CF94835A17F7B2441170,1,1,0,0,0,1878,5737
03259A1228E3AD616F10C2370B8C142A8D20132505FBC5CDB5137322A8A03FC6,1,0,0,0,1,824,2960
0337CF34FBE67EAA26DF35086BD1378C04039BD8A82082DF1ACD8B1427FB118B,1,1,0,0,0,996,4112
033C615A6F686A856583DBBA3356D56CD5874FD59317808BF9B6623B0CD56B32,1,0,0,0,1,931,2946
03A4B955A0B62C53B2227AA7654268BBEDE9586498AB7239AB31D81CCDDEDEF1,5,0,0,0,5,3972,20140
03B4B16CE34EDFC7EE557D7630DE3F951D08FBD57AE6BECA7D1A77E858B7EE1A,1,0,0,1,0,1457,6360
03BF6830F95C3580DAB4A7E9057AD19B32ED13910A5B70B203C0289849A06F93,1,1,0,0,0,504,1344
03D54E6218C13DC7190668A34C333D736575131FE6B6B8A5146E80CC0A27ADB4,1,0,0,0,1,1539,7434
03E31F26D7D90AD66B193479356AB4D35DDE4F8F92DD5845B52B690A3986DB3B,1,0,1,0,0,2475,11785
03F29DAF62963C31E793DAB9F4D7898181DAE675F000F55FAD692B2642D9E4BD,1,0,1,0,0,712,2920
03F78971ACE5675220E779398DA1A4CC5F0C62B190D1C24DB0D1D03FDCE97B90,1,0,1,0,0,904,3133
041F08DAFAFB69D299742DBB48B2D0653BCEE7F8E570982B9244D7788CEB10AD,4,0,0,0,4,566,1886
045BBDC7A14841E5DDAA1E4942D3F17FE5508CB7C00A05D48CFD40915ACAAFC7,1,1,0,0,0,1237,4341
0469EB51E8157575087EB95744B11B913B5D9042621710E91C0A198A69430240,1,0,0,0,1,1757,7792
0482D0C213C6F1392EDDA038260BCFAF661C9EF1E927B2F80502E4A42E948990,1,0,0,1,0,980,4033
04CD4FE03381728E5E71BB6B3EA9732D3FD7CD5E018F4A5C7F394320AA3B5513,4,0,1,0,3,820,10548
04E871C0CA8FF5851FEE37A591535BFA8189649339E9E1BFCE68AE44A330D0E4,1,1,0,0,0,1225,3812
0551CA5AF36475784B0FDDBB664053FEC8AB1C92B9A98AAF86B6DC6F16210EFC,1,1,0,0,0,535,1691
057485738BD61372B9699B597CB30432ECF5ED306BE4BCB2BAEB8B3B9D0F1775,1,0,0,0,1,1231,5153
05AF0637308DDEBC0A0478D9F1A956522F20F62307F09AF6C3F6FDE0833E3D76,1,0,0,1,0,512,1930
05B910ADA78CDE7EC7AA5F273C91C2851AA2829D3BB28D9290A662A2001038FE,1,1,0,0,0,797,2351
063074AB87309755797E5A445C17954752D4DC277FEE6B18ED9D925DA9A249B6,336,70,134,76,56,492,1252
0636E0C2A7F641A7B9C99A2D1785D40B8B40D8F711BCAB33809C19B2725D41BF,1,0,0,1,0,1757,7792
06475F99CBD6B7BF6F1BB97FDE7B457B672017CE9B98AB7DBCDC2F51C276C62B,1,0,0,0,1,844,3178
0651B73BBBD38665A59AC1698DF369171DC189D7D371035E9DA38D9EEA961396,35,0,2,32,1,791,2427
06A4F78AAF72CAD639986044CD43ADA4B6D101CD9AB1024C2FBEA330EB4AEE1A,1,0,1,0,0,1086,3371
06AC5459354A55BF3DC434222E2FF8CBF83757FE1967D2E496C3D5F3115C2B58,1,0,0,1,0,1649,6578
06B562EFE6F4D5250131BDDC534592D648BE228FA41E47237CE51B72F317FFE2,1,1,0,0,0,1757,7792
06D39C061ACCB416FA8F01029B44548B0740DB5E25B92A458AFE68AD6D4F2AA8,1,0,1,0,0,933,2635
06FE28040F0FF7B1247CCC209AC297B1C6623549E1CC19251ECBE18A54B6A2AB,3,0,0,0,3,489,1519
070D826719B9BD2065F782DE92693FAEB6D69AA7D1F1B5D2DB563C6C6EA441EC,1,0,0,1,0,369,840
071057C3E5F6528587760A9E7D7E6A6173E7E2E35A49B4F523A72A03EF1A76A3,130,69,16,27,18,1594,5961
0714306D4F035D0B3FE710EE97F1818905FDFD2FCB8BD115E72FC4ACE4B69607,1,1,0,0,0,3256,17202
072BA3B627375459B55EFB3ACF9DB88DDA32B9C6CD5446ECC877019D61548A7D,1,0,0,0,1,697,3216
0757E027E03317AB3B8840F185DBE924D2EE8F603737F88FC3B78DB033F50E7C,1,0,0,0,1,931,3354
0797AFFEC7A7B7CAA8C24436366B81E91616A56510EE8938E105A1C4A739B167,1,0,0,0,1,1757,7792
079B72AF2060FF65ED5BE0E3AFD22B6EBAFDE29D8A7ED853629E455BE841174B,1,0,1,0,0,1371,6212
07A1ECADD76FD668D02E1A0965942551CDD40D5623CD1749873A9A05D39B25BB,1,0,1,0,0,325,858
07E3421CF78EAB75615D7B413F3370D56FDD5547BC64AE2CC51065B3A7C1E970,84,0,2,66,16,3714,20638
0815F36B5FF7E2C45A9BC06B3D3405E7C2D43486A9366C23FD2DE2DE54C95E74,1,0,1,0,0,968,4781
084253B7B6F9AEDF83FBB39DE9140353EF2AF2BB9E3DDD7399310424C0CB7D7D,1,0,0,1,0,1757,7792
085027846A3208CAEA765833710EF1AC2BF064607DE06819520157C575D3254F,1,0,1,0,0,453,2210
0874BEEE01B526B49332BD1A253463AA244DF5A5FFC147BA0E1816C55F859DDB,1,0,0,1,0,769,3338
